<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.10	04:00:00	3316.49	3319.94	3301.82	3307.23	32808	0	18
2025.06.10	08:00:00	3307.29	3334.88	3306.74	3329.36	33837	0	18
2025.06.10	12:00:00	3329.37	3342.44	3327.19	3337.25	26877	0	18
2025.06.10	16:00:00	3337.25	3349.19	3319.87	3321.29	52990	0	18
2025.06.10	20:00:00	3321.31	3334.52	3319.35	3322.58	23903	0	18
2025.06.11	00:00:00	3321.34	3335.06	3315.41	3332.30	17663	0	18
2025.06.11	04:00:00	3332.29	3342.85	3327.19	3341.68	24346	0	18
2025.06.11	08:00:00	3341.69	3347.89	3332.44	3344.57	26910	0	18
2025.06.11	12:00:00	3344.57	3360.57	3326.13	3336.68	46252	0	18
2025.06.11	16:00:00	3336.72	3344.50	3327.69	3330.16	57328	0	18
2025.06.11	20:00:00	3330.18	3355.71	3319.44	3355.70	38329	0	18
2025.06.12	00:00:00	3358.33	3373.41	3356.12	3365.72	25710	0	18
2025.06.12	04:00:00	3365.72	3377.17	3362.43	3370.36	32482	0	18
2025.06.12	08:00:00	3370.36	3375.73	3338.47	3356.81	41502	0	18
2025.06.12	12:00:00	3356.80	3390.39	3355.40	3388.15	44366	0	18
2025.06.12	16:00:00	3388.14	3398.91	3377.78	3383.69	68514	0	18
2025.06.12	20:00:00	3383.69	3389.36	3378.07	3385.68	24263	0	18
2025.06.13	00:00:00	3386.21	3420.38	3379.58	3417.00	33886	0	18
2025.06.13	04:00:00	3417.03	3444.41	3414.07	3425.29	55736	0	18
2025.06.13	08:00:00	3425.34	3428.80	3407.96	3424.37	43999	0	18
2025.06.13	12:00:00	3424.41	3438.18	3411.60	3436.67	44173	0	18
2025.06.13	16:00:00	3436.64	3446.68	3419.20	3430.02	65903	0	18
2025.06.13	20:00:00	3429.99	3439.47	3427.40	3433.49	35166	0	18
2025.06.16	00:00:00	3441.69	3451.15	3434.12	3436.08	27506	0	18
2025.06.16	04:00:00	3436.05	3446.32	3426.80	3427.47	32028	0	18
2025.06.16	08:00:00	3427.60	3430.32	3409.48	3413.25	37532	0	18
2025.06.16	12:00:00	3413.29	3422.63	3410.68	3415.52	32975	0	18
2025.06.16	16:00:00	3415.52	3418.14	3382.75	3399.37	63724	0	18
2025.06.16	20:00:00	3399.36	3400.32	3382.76	3384.62	25928	0	18
2025.06.17	00:00:00	3386.70	3403.92	3386.08	3394.79	21743	0	18
2025.06.17	04:00:00	3394.85	3403.22	3373.77	3393.90	33731	0	18
2025.06.17	08:00:00	3393.95	3395.48	3377.84	3378.88	29675	0	18
2025.06.17	12:00:00	3378.86	3400.14	3375.70	3386.73	37805	0	18
2025.06.17	16:00:00	3386.77	3397.38	3366.10	3382.88	60797	0	18
2025.06.17	20:00:00	3382.91	3392.45	3381.30	3388.53	29284	0	18
2025.06.18	00:00:00	3392.18	3396.06	3382.26	3385.25	14659	0	18
2025.06.18	04:00:00	3385.24	3400.00	3369.88	3395.89	28748	0	18
2025.06.18	08:00:00	3395.94	3396.30	3377.12	3383.58	29592	0	18
2025.06.18	12:00:00	3383.57	3389.85	3375.45	3386.55	27291	0	18
2025.06.18	16:00:00	3386.58	3396.85	3373.83	3391.08	50461	0	18
